C:\etc\ML\snake-game\agent.py:94: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:257.)
  states = torch.tensor(states, dtype=torch.float).to(device) #
Game 417 Score 43 Record 71
Game 418 Score 33 Record 71
Game 419 Score 48 Record 71
Game 420 Score 26 Record 71
Game 421 Score 28 Record 71
Game 422 Score 50 Record 71
Game 423 Score 39 Record 71
Game 424 Score 24 Record 71
Game 425 Score 27 Record 71
Game 426 Score 16 Record 71
Game 427 Score 55 Record 71
Game 428 Score 31 Record 71
Game 429 Score 45 Record 71
Game 430 Score 32 Record 71
Game 431 Score 30 Record 71
Game 432 Score 19 Record 71
Game 433 Score 22 Record 71
Game 434 Score 37 Record 71
Game 435 Score 35 Record 71
Game 436 Score 22 Record 71
Game 437 Score 31 Record 71
Game 438 Score 17 Record 71
Game 439 Score 37 Record 71
Game 440 Score 36 Record 71
Game 441 Score 38 Record 71
Game 442 Score 24 Record 71
Game 443 Score 46 Record 71
Game 444 Score 38 Record 71
Game 445 Score 52 Record 71
Game 446 Score 46 Record 71
Game 447 Score 35 Record 71
Game 448 Score 41 Record 71
Game 449 Score 39 Record 71
Game 450 Score 25 Record 71
Game 451 Score 33 Record 71
Game 452 Score 39 Record 71
Game 453 Score 51 Record 71
Game 454 Score 31 Record 71
Game 455 Score 52 Record 71
Game 456 Score 49 Record 71
Game 457 Score 56 Record 71
Game 458 Score 19 Record 71
Game 459 Score 20 Record 71
Game 460 Score 35 Record 71
Game 461 Score 54 Record 71
Game 462 Score 20 Record 71
Game 463 Score 18 Record 71
Game 464 Score 76 Record 76
Game 465 Score 10 Record 76
Game 466 Score 50 Record 76
Game 467 Score 27 Record 76
Game 468 Score 18 Record 76
Game 469 Score 21 Record 76
Game 470 Score 32 Record 76
Game 471 Score 16 Record 76
Game 472 Score 37 Record 76
Game 473 Score 29 Record 76
Game 474 Score 28 Record 76
Game 475 Score 56 Record 76
Game 476 Score 39 Record 76
Game 477 Score 17 Record 76
Game 478 Score 18 Record 76
Game 479 Score 37 Record 76
Game 480 Score 43 Record 76
